label
brushing teeth
making snowman
cleaning shoes
bending metal
ironing
watching tv
push up
training dog
arranging flowers
tying shoe laces
massaging feet
situp
tasting food
pouring beer
base jumping
lawn mower racing
making balloon shapes
eating burger
baking cookies
knitting
doing aerobics
burping
playing ukulele
making paper aeroplanes
riding a bike
hand washing clothes
twiddling fingers
playing tennis
putting on sari
snowkiting
threading needle
using a wrench
massaging back
throwing knife
pillow fight
using a microscope
pouring beer
snowkiting
playing darts
bobsledding
archaeological excavation
checking tires
doing jigsaw puzzle
planing wood
making a cake
shot put
putting on sari
tightrope walking
cleaning windows
mushroom foraging
skiing slalom
eating hotdog
shining shoes
weaving basket
changing wheel (not on bike)
pinching
laying bricks
playing cricket
tagging graffiti
playing drums
wood burning (art)
playing ocarina
playing organ
pull ups
sword swallowing
using segway
shining flashlight
texting
carrying baby
busking
archery
brush painting
lunge
playing bagpipes
scrapbooking
playing cricket
swimming backstroke
weaving fabric
getting a haircut
baking cookies
golf chipping
making a sandwich
salsa dancing
flint knapping
braiding hair
sword swallowing
trimming trees
putting on mascara
ice skating
popping balloons
hockey stop
blowing nose
making horseshoes
casting fishing line
watching tv
pouring beer
luge
spray painting
dancing charleston
bookbinding
sword fighting
popping balloons
triple jump
lunge
slacklining
eating watermelon
eating watermelon
water sliding
flying kite
breathing fire
playing cymbals
extinguishing fire
building sandcastle
cleaning pool
disc golfing
wading through mud
spinning poi
sausage making
petting animal (not cat)
throwing snowballs
punching bag
person collecting garbage
counting money
throwing water balloon
playing laser tag
bending metal
juggling balls
making snowman
making the bed
using circular saw
waxing legs
grinding meat
feeding birds
drumming fingers
long jump
playing polo
hopscotch
dunking basketball
skateboarding
playing ice hockey
cleaning pool
giving or receiving award
laughing
hitting baseball
hurdling
making a cake
playing harp
playing ice hockey
skiing slalom
contorting
making horseshoes
walking the dog
home roasting coffee
pillow fight
playing didgeridoo
shaving head
shaving legs
playing cello
drooling
pole vault
blowing out candles
chiseling wood
hand washing clothes
looking at phone
snatch weight lifting
reading book
kitesurfing
putting on sari
stretching leg
stretching arm
salsa dancing
falling off chair
wrestling
delivering mail
repairing puncture
javelin throw
playing lute
bouncing on trampoline
tasting wine
folding paper
hoverboarding
chopping wood
flint knapping
wrestling
wrestling
juggling fire
shoveling snow
playing cymbals
tagging graffiti
riding camel
throwing tantrum
calculating
snowmobiling
hoverboarding
making balloon shapes
breaking boards
riding camel
dancing charleston
waiting in line
beatboxing
hurdling
jumping jacks
massaging person's head
playing trumpet
brush painting
pouring beer
sawing wood
using a power drill
raising eyebrows
catching fish
front raises
washing feet
brushing teeth
cheerleading
climbing ladder
chopping wood
eating ice cream
skateboarding
using a microscope
playing ice hockey
bulldozing
throwing knife
flint knapping
scrubbing face
swimming breast stroke
hopscotch
tobogganing
blowing nose
jumping jacks
cooking scallops
juggling balls
head stand
jumping bicycle
raising eyebrows
golf chipping
cleaning shoes
scrambling eggs
marching
opening bottle (not wine)
kicking soccer ball
breathing fire
feeding goats
bathing dog
playing dominoes
sled dog racing
bobsledding
shaping bread dough
sucking lolly
attending conference
cracking neck
tagging graffiti
throwing tantrum
shaking head
skipping rope
playing violin
wading through mud
opening bottle (not wine)
fixing hair
docking boat
juggling fire
eating carrots
chiseling stone
salsa dancing
popping balloons
roller skating
fly tying
jumping into pool
checking tires
watering plants
drop kicking
using a wrench
curling hair
air drumming
sleeping
pouring beer
feeding birds
geocaching
using atm
skiing crosscountry
eating ice cream
putting on eyeliner
washing dishes
tasting wine
talking on cell phone
riding snow blower
using bagging machine
playing kickball
breading or breadcrumbing
sausage making
eating carrots
playing piano
washing hair
snorkeling
texting
jogging
smashing
snorkeling
stretching arm
news anchoring
ripping paper
bathing dog
playing organ
hand washing clothes
playing cymbals
tango dancing
busking
playing recorder
waiting in line
walking the dog
tapping guitar
moving furniture
playing clarinet
playing bass guitar
bench pressing
making sushi
tie dying
riding or walking with horse
sipping cup
squat
geocaching
side kick
feeding birds
skipping stone
wading through water
flying kite
falling off bike
tobogganing
attending conference
playing marbles
chewing gum
catching fish
calculating
playing kickball
playing guitar
stretching leg
building shed
cosplaying
blowdrying hair
playing trombone
sewing
hurling (sport)
playing keyboard
attending conference
visiting the zoo
ice climbing
threading needle
squat
building shed
directing traffic
hula hooping
playing pinball
docking boat
making sushi
tai chi
inflating balloons
putting on sari
running on treadmill
setting table
spelunking
eating carrots
chopping vegetables
playing saxophone
playing monopoly
playing cricket
trimming or shaving beard
wrestling
cooking scallops
disc golfing
spinning poi
building sandcastle
using a power drill
weaving fabric
whistling
jetskiing
playing ukulele
robot dancing
pushing car
capoeira
coloring in
dancing ballet
contact juggling
weaving fabric
person collecting garbage
watering plants
mosh pit dancing
bending metal
eating watermelon
canoeing or kayaking
throwing ball (not baseball or American football)
barbequing
using a microscope
petting cat
surfing water
lifting hat
holding snake
photobombing
windsurfing
holding snake
riding unicycle
chiseling stone
smoking
holding snake
picking fruit
bungee jumping
making balloon shapes
disc golfing
tasting wine
answering questions
kitesurfing
surfing water
juggling soccer ball
grinding meat
shaving head
building cabinet
weaving basket
driving car
smoking hookah
shot put
writing
celebrating
watching tv
pumping gas
cleaning shoes
snowmobiling
land sailing
needle felting
using inhaler
ice climbing
smelling feet
shooting basketball
pumping gas
putting on eyeliner
testifying
kicking soccer ball
falling off chair
opening bottle (not wine)
somersaulting
cutting nails
waking up
chewing gum
egg hunting
directing traffic
yawning
skiing mono
ice swimming
bandaging
marriage proposal
hitting baseball
punching person (boxing)
skipping stone
arranging flowers
gymnastics tumbling
sausage making
walking through snow
tobogganing
playing marbles
barbequing
carving pumpkin
shucking oysters
pumping gas
answering questions
assembling bicycle
riding scooter
dumpster diving
playing chess
smoking
feeding goats
barbequing
hugging baby
flipping pancake
playing basketball
changing gear in car
using segway
catching fish
catching or throwing frisbee
breathing fire
surfing crowd
using a paint roller
bungee jumping
lighting fire
extinguishing fire
hitting baseball
climbing a rope
chopping meat
blasting sand
catching or throwing frisbee
playing cello
playing keyboard
waxing legs
skiing mono
mushroom foraging
moving furniture
plastering
shining shoes
talking on cell phone
side kick
sewing
hockey stop
drop kicking
using puppets
gymnastics tumbling
playing pan pipes
pumping gas
cooking scallops
playing basketball
washing hands
bobsledding
making snowman
sewing
barbequing
playing kickball
smelling feet
playing laser tag
tightrope walking
chopping wood
cutting watermelon
cooking scallops
playing hand clapping games
punching person (boxing)
drumming fingers
cleaning toilet
playing cricket
inflating balloons
presenting weather forecast
tai chi
slapping
sword fighting
country line dancing
pumping fist
carving ice
swing dancing
hitting baseball
smoking
skiing slalom
riding a bike
dyeing eyebrows
putting on foundation
passing soccer ball
opening refrigerator
tai chi
bouncing on trampoline
cooking sausages (not on barbeque)
using puppets
washing dishes
hugging baby
pushing wheelbarrow
watering plants
playing gong
catching or throwing softball
playing ice hockey
singing
ironing hair
riding unicycle
licking
using a microscope
twiddling fingers
sailing
laughing
bodysurfing
snatch weight lifting
driving tractor
smoking hookah
preparing salad
shining shoes
laying tiles
lock picking
pole vault
sword fighting
dancing ballet
tapping pen
cutting pineapple
luge
sipping cup
petting animal (not cat)
smoking hookah
cartwheeling
braiding hair
snatch weight lifting
dyeing eyebrows
climbing tree
sneezing
backflip (human)
ironing
cooking egg
mopping floor
scrambling eggs
coloring in
acting in play
mopping floor
triple jump
playing squash or racquetball
ice skating
riding or walking with horse
baking cookies
steer roping
cleaning shoes
news anchoring
pushing cart
cosplaying
smoking pipe
putting on lipstick
jumpstyle dancing
bouncing on trampoline
smoking pipe
high jump
calligraphy
mowing lawn
blowing bubble gum
pinching
jumping jacks
breading or breadcrumbing
drop kicking
holding snake
massaging feet
massaging feet
putting on sari
flint knapping
tasting wine
situp
yawning
playing rubiks cube
brushing teeth
making cheese
dyeing hair
shaving head
eating chips
reading newspaper
eating spaghetti
welding
playing pan pipes
front raises
drop kicking
making a cake
building sandcastle
playing controller
shopping
grinding meat
peeling potatoes
carving pumpkin
gymnastics tumbling
capoeira
falling off chair
auctioning
gospel singing in church
archaeological excavation
shaving head
playing didgeridoo
drop kicking
marriage proposal
surfing crowd
fly tying
blowing bubble gum
massaging person's head
capsizing
giving or receiving award
frying vegetables
hurling (sport)
brushing teeth
playing xylophone
yarn spinning
peeling potatoes
playing trombone
cutting nails
waxing chest
using remote controller (not gaming)
peeling apples
swinging on something
laughing
waxing back
parkour
making a cake
shearing sheep
swimming front crawl
playing netball
dunking basketball
shuffling feet
playing rubiks cube
skiing mono
washing hair
clean and jerk
dancing charleston
punching bag
bouncing on bouncy castle
ironing hair
throwing tantrum
riding a bike
skateboarding
playing piano
making a sandwich
huddling
sweeping floor
throwing water balloon
needle felting
arguing
poking bellybutton
pushing wheelbarrow
washing feet
peeling apples
mushroom foraging
juggling balls
somersaulting
cutting pineapple
preparing salad
petting cat
abseiling
crossing river
dumpster diving
steer roping
sweeping floor
chiseling stone
shining shoes
arguing
playing controller
yarn spinning
building shed
carving ice
motorcycling
celebrating
wading through mud
folding clothes
flying kite
brushing teeth
playing ping pong
visiting the zoo
texting
bandaging
mopping floor
hammer throw
sneezing
blowing out candles
snowmobiling
catching or throwing baseball
diving cliff
cumbia
arranging flowers
applying cream
salsa dancing
blowdrying hair
marriage proposal
making horseshoes
changing oil
making a sandwich
huddling
grooming horse
brushing teeth
holding snake
front raises
gospel singing in church
directing traffic
lock picking
playing ocarina
cutting apple
bouncing on bouncy castle
calligraphy
kicking field goal
cutting orange
playing didgeridoo
robot dancing
playing drums
playing pan pipes
breakdancing
massaging legs
washing feet
carving pumpkin
making paper aeroplanes
bodysurfing
riding mule
clay pottery making
knitting
waxing chest
archery
bungee jumping
shucking oysters
card throwing
crossing eyes
home roasting coffee
sign language interpreting
playing paintball
swimming breast stroke
waving hand
jumping bicycle
fixing bicycle
twiddling fingers
polishing metal
backflip (human)
trapezing
cutting watermelon
faceplanting
putting on sari
calculating
putting on sari
pirouetting
shopping
eating carrots
playing volleyball
blowdrying hair
water sliding
using a microscope
smelling feet
texting
stretching arm
eating burger
playing clarinet
lighting fire
ripping paper
using inhaler
reading newspaper
jogging
card stacking
tossing coin
trimming trees
coloring in
swimming front crawl
sign language interpreting
disc golfing
spinning poi
tiptoeing
yawning
chiseling wood
ice climbing
shining shoes
climbing tree
scrambling eggs
arguing
faceplanting
shaving legs
passing American football (in game)
presenting weather forecast
clean and jerk
preparing salad
eating hotdog
raising eyebrows
playing pinball
playing basketball
surfing crowd
grooming dog
sailing
squat
blowing leaves
using a paint roller
falling off chair
eating cake
lawn mower racing
making balloon shapes
playing ukulele
decorating the christmas tree
making tea
auctioning
brushing teeth
sign language interpreting
opening wine bottle
reading newspaper
falling off bike
golf chipping
juggling fire
tasting beer
chopping wood
playing drums
tying shoe laces
juggling balls
breathing fire
gymnastics tumbling
making a cake
climbing tree
fidgeting
cooking egg
smoking
answering questions
slapping
scrambling eggs
playing violin
spray painting
pumping gas
photocopying
playing harp
applauding
hopscotch
mowing lawn
eating carrots
news anchoring
milking cow
marching
battle rope training
jumping into pool
building lego
cleaning shoes
cutting orange
clam digging
shucking oysters
passing soccer ball
bookbinding
falling off bike
drooling
eating hotdog
playing bagpipes
ice climbing
playing badminton
roasting marshmallows
fencing (sport)
talking on cell phone
cooking scallops
skiing crosscountry
using a microscope
fly tying
slapping
water skiing
arm wrestling
building lego
baking cookies
stomping grapes
pushing car
weaving basket
putting on foundation
stretching arm
cheerleading
watching tv
hugging (not baby)
feeding goats
scrubbing face
blasting sand
climbing a rope
smelling feet
skiing crosscountry
country line dancing
massaging feet
playing cymbals
using a microscope
punching bag
extinguishing fire
catching fish
planing wood
bathing dog
petting animal (not cat)
unboxing
waxing back
doing nails
juggling fire
tightrope walking
person collecting garbage
building cabinet
polishing metal
slapping
popping balloons
swimming breast stroke
playing accordion
shucking oysters
shining flashlight
archaeological excavation
tightrope walking
base jumping
fixing bicycle
poking bellybutton
passing American football (in game)
skiing slalom
picking fruit
alligator wrestling
motorcycling
playing paintball
combing hair
skateboarding
front raises
punching person (boxing)
casting fishing line
juggling balls
flipping pancake
mopping floor
waving hand
welding
brush painting
playing controller
decorating the christmas tree
playing pan pipes
using a wrench
snowmobiling
faceplanting
dancing charleston
eating cake
contact juggling
pirouetting
sharpening knives
training dog
beatboxing
catching or throwing frisbee
jetskiing
sharpening pencil
golf putting
making bubbles
surfing water
flint knapping
playing pinball
spinning poi
deadlifting
mushroom foraging
walking through snow
curling (sport)
slacklining
testifying
answering questions
laying tiles
climbing tree
poking bellybutton
ski jumping
ski jumping
drop kicking
karaoke
biking through snow
making jewelry
clapping
clean and jerk
playing scrabble
bee keeping
pushing wheelchair
skateboarding
polishing metal
snowmobiling
shopping
jumping bicycle
putting on shoes
hula hooping
blowdrying hair
passing American football (in game)
playing violin
inflating balloons
building cabinet
snowmobiling
getting a haircut
getting a tattoo
testifying
giving or receiving award
punching bag
playing lute
skiing mono
licking
waxing eyebrows
yarn spinning
making snowman
tie dying
springboard diving
driving car
eating doughnuts
using circular saw
tasting beer
making a cake
throwing axe
shaving head
casting fishing line
tying bow tie
riding unicycle
making a sandwich
pole vault
smelling feet
lawn mower racing
getting a haircut
brush painting
using a wrench
playing netball
packing
marching
driving car
playing bass guitar
throwing tantrum
playing paintball
lifting hat
chopping meat
making sushi
sawing wood
burping
mountain climber (exercise)
ski jumping
texting
shuffling cards
playing recorder
blowing out candles
laying concrete
hurdling
playing scrabble
tango dancing
getting a tattoo
using inhaler
building sandcastle
bee keeping
frying vegetables
gospel singing in church
shopping
directing traffic
celebrating
getting a tattoo
sharpening knives
tickling
playing kickball
sign language interpreting
falling off bike
riding elephant
staring
cumbia
drumming fingers
hula hooping
visiting the zoo
petting cat
shaking hands
playing volleyball
drawing
watching tv
surfing crowd
pushing car
playing flute
delivering mail
smoking hookah
reading newspaper
jumping bicycle
beatboxing
springboard diving
laying concrete
acting in play
vacuuming floor
diving cliff
dyeing hair
somersaulting
playing chess
opening door
tagging graffiti
ice fishing
photocopying
building sandcastle
capsizing
auctioning
planing wood
shaving legs
swinging on something
making a sandwich
playing ice hockey
mountain climber (exercise)
home roasting coffee
hurdling
crossing eyes
grooming horse
embroidering
changing wheel (not on bike)
playing marbles
playing cricket
separating eggs
push up
playing hand clapping games
putting on mascara
decorating the christmas tree
playing darts
clam digging
punching person (boxing)
head stand
playing cricket
shuffling feet
watching tv
playing scrabble
bodysurfing
riding elephant
carving ice
blowdrying hair
waving hand
playing kickball
catching or throwing baseball
assembling bicycle
stretching leg
playing piano
smoking hookah
acting in play
opening wine bottle
archery
massaging feet
tightrope walking
parasailing
writing
crawling baby
playing ocarina
dancing ballet
driving car
arranging flowers
swinging on something
arm wrestling
jetskiing
sneezing
kicking field goal
combing hair
licking
clam digging
jaywalking
making bubbles
opening door
massaging feet
spray painting
polishing metal
repairing puncture
playing squash or racquetball
mopping floor
frying vegetables
playing darts
playing cymbals
shopping
building sandcastle
waiting in line
waxing back
calligraphy
using remote controller (not gaming)
geocaching
using a power drill
kicking field goal
feeding goats
hugging baby
jaywalking
springboard diving
hurling (sport)
skiing mono
smoking hookah
picking fruit
skiing slalom
combing hair
catching or throwing softball
jumping jacks
using a sledge hammer
burping
zumba
yoga
drumming fingers
putting on sari
playing saxophone
golf putting
sleeping
cutting pineapple
grooming horse
using inhaler
flying kite
tasting wine
hammer throw
walking through snow
bandaging
making snowman
tobogganing
sharpening knives
packing
head stand
playing tennis
playing clarinet
high jump
laying stone
sewing
kissing
staring
watching tv
dancing macarena
shaking hands
using a microscope
long jump
calligraphy
massaging person's head
dyeing eyebrows
fidgeting
petting animal (not cat)
blowing glass
cooking egg
tying knot (not on a tie)
bull fighting
sausage making
directing traffic
hopscotch
waxing eyebrows
blowing glass
cleaning windows
steer roping
massaging feet
jogging
crossing river
playing tennis
changing wheel (not on bike)
scuba diving
zumba
playing pan pipes
checking tires
smoking pipe
brush painting
bench pressing
laying concrete
lifting hat
waxing back
waking up
sailing
reading book
bending metal
eating ice cream
using remote controller (not gaming)
cleaning pool
cooking on campfire
home roasting coffee
waving hand
hammer throw
playing beer pong
playing poker
ski jumping
air drumming
playing keyboard
chiseling stone
blowing glass
playing marbles
hand washing clothes
skateboarding
water sliding
licking
plastering
playing recorder
changing wheel (not on bike)
training dog
shucking oysters
sharpening pencil
vacuuming floor
blasting sand
deadlifting
pushing car
arranging flowers
mushroom foraging
needle felting
drawing
playing ice hockey
playing kickball
playing hand clapping games
deadlifting
drawing
wrestling
wrestling
chewing gum
deadlifting
drawing
drawing
arm wrestling
bending metal
wrestling
riding mule
putting on shoes
beatboxing
mushroom foraging
drawing
wrestling
grinding meat
drawing
picking fruit
playing cello
beatboxing
unloading truck
cheerleading
eating spaghetti
drop kicking
punching bag
kicking field goal
recording music
decorating the christmas tree
riding mechanical bull
playing pan pipes
calculating
making a cake
building cabinet
laughing
trapezing
massaging neck
arm wrestling
motorcycling
eating hotdog
ice fishing
making pizza
using bagging machine
waxing chest
bookbinding
changing wheel (not on bike)
blowing bubble gum
belly dancing
yarn spinning
using atm
playing paintball
dunking basketball
water sliding
krumping
diving cliff
breathing fire
spelunking
water skiing
cumbia
installing carpet
breathing fire
smashing
shaving legs
wading through water
passing American football (in game)
using a paint roller
dodgeball
making a cake
hugging (not baby)
shaving head
eating cake
hitting baseball
jetskiing
playing accordion
dancing macarena
photobombing
tie dying
throwing discus
country line dancing
applying cream
base jumping
running on treadmill
eating hotdog
shooting goal (soccer)
cleaning shoes
throwing discus
playing keyboard
photobombing
shining shoes
pouring beer
geocaching
pushing wheelbarrow
photocopying
tap dancing
using circular saw
stretching arm
repairing puncture
getting a haircut
changing wheel (not on bike)
base jumping
eating doughnuts
parasailing
brushing hair
jumping jacks
climbing a rope
building cabinet
wood burning (art)
tasting wine
waxing legs
tasting beer
golf driving
feeding birds
using segway
rope pushdown
home roasting coffee
hopscotch
making a sandwich
bartending
swinging baseball bat
washing hands
spinning poi
playing violin
building cabinet
deadlifting
laying concrete
jumping jacks
ripping paper
busking
clapping
punching bag
playing drums
brushing teeth
playing bass guitar
climbing a rope
acting in play
folding clothes
throwing axe
skiing crosscountry
driving tractor
eating spaghetti
playing pan pipes
grooming dog
carrying baby
gold panning
playing blackjack
skipping stone
geocaching
spray painting
playing flute
putting on eyeliner
folding paper
directing traffic
changing gear in car
making a sandwich
preparing salad
chiseling wood
parkour
changing oil
extinguishing fire
bending metal
dyeing hair
unboxing
sawing wood
playing volleyball
playing didgeridoo
massaging feet
playing field hockey
picking fruit
brushing teeth
fidgeting
bee keeping
jetskiing
delivering mail
repairing puncture
waking up
throwing tantrum
peeling apples
throwing tantrum
swinging baseball bat
raising eyebrows
crying
jumpstyle dancing
snowmobiling
kitesurfing
burping
looking at phone
coloring in
opening door
eating burger
snowboarding
cleaning shoes
steer roping
crossing eyes
finger snapping
using a microscope
playing marbles
backflip (human)
juggling soccer ball
playing harmonica
trimming or shaving beard
huddling
eating carrots
eating ice cream
abseiling
installing carpet
sticking tongue out
tap dancing
bull fighting
burping
clam digging
breakdancing
docking boat
eating spaghetti
building sandcastle
surfing water
braiding hair
petting animal (not cat)
washing hair
doing aerobics
eating doughnuts
swimming breast stroke
ironing hair
tai chi
pumping gas
playing cricket
playing lute
walking through snow
talking on cell phone
popping balloons
stomping grapes
visiting the zoo
changing oil
chopping wood
land sailing
passing American football (in game)
sword swallowing
changing wheel (not on bike)
smelling feet
punching person (boxing)
peeling apples
ironing
falling off bike
cosplaying
playing didgeridoo
planing wood
sticking tongue out
mowing lawn
putting on sari
sign language interpreting
shining shoes
swimming backstroke
jumping into pool
needle felting
busking
testifying
luge
chopping wood
cartwheeling
laying concrete
pushing wheelchair
news anchoring
visiting the zoo
eating cake
using a power drill
making a cake
rope pushdown
playing accordion
pillow fight
bulldozing
jaywalking
water sliding
playing rubiks cube
bouncing on bouncy castle
feeding fish
tying shoe laces
playing hand clapping games
swimming front crawl
dining
sausage making
making jewelry
waxing chest
tying necktie
cleaning pool
riding elephant
springboard diving
knitting
texting
sneezing
playing keyboard
skipping rope
hopscotch
shot put
plastering
long jump
changing oil
playing volleyball
blowing out candles
javelin throw
building sandcastle
stretching arm
cleaning gutters
brushing hair
moon walking
recording music
ironing
archery
hurling (sport)
falling off chair
plastering
dribbling basketball
whistling
braiding hair
huddling
ice climbing
training dog
building cabinet
lifting hat
writing
singing
playing harp
cheerleading
lifting hat
biking through snow
bending back
canoeing or kayaking
breakdancing
writing
tying shoe laces
photocopying
driving tractor
marriage proposal
dining
playing basketball
flying kite
peeling potatoes
playing squash or racquetball
shuffling feet
flying kite
high jump
cracking neck
eating doughnuts
adjusting glasses
biking through snow
pushing car
putting on shoes
calligraphy
eating hotdog
separating eggs
milking cow
massaging back
steer roping
abseiling
repairing puncture
directing traffic
scrambling eggs
riding unicycle
clay pottery making
reading book
roller skating
putting on eyeliner
diving cliff
backflip (human)
playing harp
making cheese
skiing crosscountry
news anchoring
pinching
yawning
capoeira
motorcycling
playing organ
throwing water balloon
making a sandwich
bee keeping
threading needle
golf driving
climbing ladder
dyeing hair
bobsledding
pushing cart
pushing wheelchair
tap dancing
clean and jerk
running on treadmill
backflip (human)
robot dancing
opening door
playing squash or racquetball
ripping paper
scrapbooking
chopping vegetables
coloring in
shoveling snow
feeding fish
ice swimming
burping
ski jumping
shining shoes
building shed
jetskiing
drooling
sled dog racing
playing ping pong
putting on lipstick
bartending
making bubbles
riding mechanical bull
massaging legs
triple jump
smelling feet
unloading truck
laying concrete
rolling pastry
petting animal (not cat)
auctioning
checking tires
krumping
lock picking
playing pinball
dancing charleston
eating spaghetti
exercising with an exercise ball
celebrating
tackling
using circular saw
washing feet
cooking scallops
threading needle
wading through water
popping balloons
sleeping
skateboarding
smelling feet
ski jumping
dribbling basketball
wrestling
disc golfing
finger snapping
making sushi
base jumping
throwing tantrum
poking bellybutton
passing american football (not in game)
carving pumpkin
shucking oysters
hula hooping
playing organ
shuffling cards
playing poker
hockey stop
biking through snow
sawing wood
adjusting glasses
massaging neck
driving car
making cheese
longboarding
playing beer pong
news anchoring
shaving legs
coloring in
playing lute
moon walking
using remote controller (not gaming)
bungee jumping
tasting wine
karaoke
fixing hair
blowdrying hair
playing blackjack
luge
playing gong
hugging baby
dancing gangnam style
leatherworking
canoeing or kayaking
sweeping floor
bending back
jumping bicycle
planting trees
folding napkins
frying vegetables
eating chips
climbing tree
delivering mail
mosh pit dancing
sanding floor
barbequing
sanding floor
singing
shaking hands
skipping rope
making paper aeroplanes
using a microscope
standing on hands
hurdling
tapping pen
huddling
assembling computer
cumbia
washing hands
clam digging
drumming fingers
playing darts
reading book
playing field hockey
checking tires
using a power drill
counting money
swing dancing
shopping
playing xylophone
scrambling eggs
playing violin
running on treadmill
pushing wheelchair
carving pumpkin
head stand
playing clarinet
watching tv
inflating balloons
cooking scallops
kicking field goal
training dog
ski jumping
lunge
drooling
drumming fingers
playing ukulele
hugging baby
skipping stone
sticking tongue out
dribbling basketball
parasailing
stretching leg
cooking scallops
getting a haircut
using remote controller (not gaming)
testifying
shaving legs
playing kickball
playing violin
capsizing
drinking shots
stomping grapes
tying bow tie
recording music
trimming shrubs
installing carpet
hugging baby
pumping fist
situp
pinching
riding mule
playing cymbals
blowing out candles
bandaging
tying bow tie
pushing wheelbarrow
bending back
auctioning
laying tiles
directing traffic
bowling
singing
folding paper
hugging baby
hurdling
juggling soccer ball
barbequing
exercising with an exercise ball
biking through snow
surfing water
putting on sari
photocopying
front raises
vacuuming floor
spelunking
laying stone
tossing coin
disc golfing
playing polo
peeling potatoes
bartending
blowing glass
hula hooping
petting cat
tickling
shot put
getting a piercing
auctioning
riding unicycle
marriage proposal
finger snapping
mowing lawn
changing gear in car
hammer throw
cracking back
waking up
throwing snowballs
cheerleading
eating doughnuts
doing nails
directing traffic
tie dying
shaking hands
blowing nose
hitting baseball
blowing glass
paragliding
yoga
yoga
crawling baby
sign language interpreting
using a sledge hammer
pull ups
playing cello
playing paintball
brush painting
blowing bubble gum
salsa dancing
eating hotdog
punching person (boxing)
slacklining
kitesurfing
directing traffic
winking
zumba
long jump
tightrope walking
using puppets
coloring in
writing
front raises
putting on shoes
beatboxing
longboarding
somersaulting
pouring beer
sled dog racing
laughing
ice fishing
combing hair
slapping
motorcycling
steer roping
driving car
disc golfing
needle felting
weaving fabric
chiseling stone
waving hand
faceplanting
eating cake
cleaning shoes
docking boat
sausage making
roasting marshmallows
using a power drill
auctioning
putting on sari
cooking scallops
using a microscope
flying kite
feeding goats
sword swallowing
playing pinball
salsa dancing
pinching
doing jigsaw puzzle
laughing
playing beer pong
chiseling wood
jumping into pool
playing tennis
driving tractor
cleaning pool
jumping bicycle
tasting beer
pumping fist
playing poker
playing marbles
headbutting
blowing nose
assembling computer
tightrope walking
repairing puncture
salsa dancing
riding elephant
playing blackjack
using a microscope
cleaning toilet
hugging baby
putting on eyeliner
playing clarinet
capoeira
tapping pen
tying bow tie
land sailing
massaging legs
high kick
massaging legs
high kick
shearing sheep
making bubbles
ice fishing
photocopying
embroidering
petting animal (not cat)
bartending
playing recorder
playing marbles
installing carpet
parasailing
jumpstyle dancing
tickling
juggling fire
calligraphy
sweeping floor
playing accordion
tie dying
using bagging machine
breathing fire
cooking sausages (not on barbeque)
cheerleading
longboarding
skiing mono
making cheese
playing ukulele
hurdling
waxing eyebrows
extinguishing fire
skipping rope
punching bag
winking
tai chi
eating watermelon
skiing slalom
opening refrigerator
knitting
wrapping present
rock scissors paper
eating ice cream
climbing a rope
shaping bread dough
javelin throw
shuffling feet
card stacking
sticking tongue out
spray painting
climbing a rope
passing soccer ball
playing lute
looking at phone
counting money
mowing lawn
rolling pastry
tasting beer
sticking tongue out
falling off chair
plastering
tasting beer
gospel singing in church
swimming butterfly stroke
archery
popping balloons
casting fishing line
huddling
mowing lawn
poking bellybutton
recording music
making jewelry
skateboarding
shaking hands
applying cream
playing lute
planting trees
marching
dodgeball
drumming fingers
sawing wood
photocopying
push up
cleaning gutters
home roasting coffee
gold panning
playing ukulele
opening refrigerator
playing volleyball
pushing car
flipping pancake
walking the dog
riding mule
shuffling feet
carrying baby
scrapbooking
bee keeping
calculating
skiing slalom
crossing eyes
playing cricket
skydiving
making a sandwich
photocopying
playing hand clapping games
windsurfing
inflating balloons
salsa dancing
walking the dog
calculating
mountain climber (exercise)
longboarding
trimming shrubs
making the bed
playing keyboard
baking cookies
tagging graffiti
blasting sand
gold panning
catching or throwing baseball
threading needle
tasting beer
swinging baseball bat
abseiling
decorating the christmas tree
washing hair
gospel singing in church
playing pan pipes
shining flashlight
riding mule
repairing puncture
using atm
washing dishes
opening present
high jump
extinguishing fire
shining flashlight
golf chipping
using remote controller (not gaming)
sticking tongue out
counting money
roller skating
changing gear in car
mowing lawn
gold panning
playing basketball
kicking field goal
kicking soccer ball
sword swallowing
base jumping
riding mechanical bull
swimming backstroke
docking boat
moving furniture
eating carrots
sanding floor
getting a piercing
shucking oysters
folding napkins
playing xylophone
cutting orange
knitting
fencing (sport)
pillow fight
playing ukulele
eating carrots
winking
shaving legs
cooking scallops
tai chi
twiddling fingers
using remote controller (not gaming)
sweeping floor
planting trees
ski jumping
playing laser tag
catching or throwing softball
casting fishing line
beatboxing
waiting in line
pushing cart
getting a piercing
shaking head
snowkiting
assembling bicycle
catching fish
blowdrying hair
playing clarinet
riding camel
shaking head
swing dancing
smoking hookah
curling hair
playing field hockey
sawing wood
passing American football (in game)
bending metal
chewing gum
spelunking
singing
dancing ballet
kicking soccer ball
sucking lolly
bending back
using circular saw
stretching arm
applauding
cutting apple
making a cake
somersaulting
climbing a rope
bandaging
throwing axe
writing
opening present
scuba diving
skipping stone
tying bow tie
washing hands
eating chips
playing basketball
directing traffic
using puppets
petting cat
yoga
crossing river
hitting baseball
bouncing on trampoline
playing flute
